Date, A, B
12-06-2020 18:55, 0.5, 0.5
12-06-2020 19:02, 0, 1
12-06-2020 19:11, 1, 0
12-06-2020 19:34, 1, 0
12-06-2020 19:44, 1, 0
12-06-2020 19:55, 0, 1
12-06-2020 20:00, 1, 0
12-06-2020 20:07, 0, 1
12-06-2020 20:24, 1, 0
12-06-2020 20:34, 1, 0
12-06-2020 20:40, 0, 1
14-06-2020 19:15, 0, 1
14-06-2020 19:21, 0, 1
14-06-2020 19:30, 0, 1
14-06-2020 19:40, 1, 0
14-06-2020 19:46, 0, 1
14-06-2020 19:54, 1, 0
14-06-2020 20:00, 0, 1
14-06-2020 20:09, 1, 0
14-06-2020 20:20, 0.5, 0.5
14-06-2020 20:31, 1, 0
15-06-2020 16:29, 0, 1
15-06-2020 16:39, 1, 0
15-06-2020 16:49, 0, 1
15-06-2020 16:56, 0, 1
15-06-2020 17:04, 1, 0
15-06-2020 17:53, 1, 0
15-06-2020 18:06, 1, 0
15-06-2020 18:18, 0, 1
15-06-2020 18:25, 1, 0
15-06-2020 18:35, 0, 1
26-06-2020 18:35, 1, 0
26-06-2020 18:44, 1, 0
26-06-2020 18:53, 0, 1
26-06-2020 18:55, 1, 0
27-06-2020 17:15, 0, 1
27-06-2020 17:24, 0, 1
27-06-2020 17:33, 1, 0
27-06-2020 17:41, 0, 1
27-06-2020 17:49, 0, 1
27-06-2020 17:58, 0.5, 0.5
27-06-2020 18:09, 1, 0
27-06-2020 19:02, 1, 0
27-06-2020 19:12, 1, 0
27-06-2020 19:25, 0, 1
27-06-2020 19:34, 0, 1
27-06-2020 19:44, 0, 1
27-06-2020 19:54, 1, 0
09-07-2020 17:25, 0, 1
09-07-2020 17:33, 1, 0
09-07-2020 17:42, 0, 1
09-07-2020 17:50, 0, 1
09-07-2020 17:56, 1, 0
09-07-2020 18:09, 0.5, 0.5
09-07-2020 18:14, 1, 0
09-07-2020 18:22, 0, 1
09-07-2020 18:32, 0, 1
09-07-2020 18:42, 1, 0
09-07-2020 18:47, 0, 1
09-07-2020 18:55, 0, 1
09-07-2020 18:56, 1, 0
09-07-2020 19:04, 0, 1
09-07-2020 19:13, 1, 0
09-07-2020 19:25, 0, 1
09-07-2020 19:32, 0, 1
09-07-2020 19:39, 1, 0
09-07-2020 19:49, 0, 1
09-07-2020 19:56, 0, 1
09-07-2020 20:03, 1, 0
09-07-2020 20:12, 0, 1
10-07-2020 18:29, 0, 1
10-07-2020 18:37, 1, 0
10-07-2020 18:46, 1, 0
10-07-2020 18:53, 0, 1
10-07-2020 19:03, 1, 0
10-07-2020 19:10, 1, 0
10-07-2020 19:21, 1, 0
10-07-2020 20:15, 1, 0
10-07-2020 20:23, 0, 1
10-07-2020 20:32, 1, 0
10-07-2020 20:38, 0, 1
10-07-2020 20:48, 1, 0
10-07-2020 21:00, 0, 1
10-07-2020 21:07, 0, 1
10-07-2020 21:16, 0, 1
10-07-2020 21:21, 1, 0
11-07-2020 13:03, 1, 0
